Distribution,Sample Length,Gini Coefficient,Herfindahl-Hirschman Index,Entropy,Nakamoto Coefficient,Apokedro
Uniform,6,0.25168870383610537,0.20469662980838493,1.6835697673387804,2,0.234375
Normal,6,0.10782743162438813,0.1729177968607033,1.772417790199435,3,0.22916666666666666
Exponential,6,0.3700814992305519,0.2480553582170793,1.439136671536536,2,0.4375
Bimodal,6,0.23965270425357335,0.2020590371998327,1.6820601645271913,2,0.25
Log-normal,6,0.19084532601061577,0.18890849289919998,1.7301717711304128,3,0.20535714285714285
Chi-Square,6,0.4929814992702015,0.3056776521506704,1.3659823235347441,2,0.325
Uniform,7,0.1331951432418618,0.15094304440957124,1.9170605313484232,3,0.12931034482758622
Normal,7,0.12271342427121519,0.15011426803743932,1.9212911971835087,3,0.14
Exponential,7,0.3404118726123171,0.19765639963101994,1.7482088468118433,2,0.20454545454545456
Bimodal,7,0.20455262476006345,0.19187592266862463,1.714133187028425,3,0.22115384615384615
Log-normal,7,0.22050349697819677,0.16595047626555104,1.8637073055346314,3,0.16666666666666666
Chi-Square,7,0.4118308093814113,0.22436585702142867,1.6661955476150374,2,0.1875
Uniform,8,0.19305250242626804,0.1419033953016648,2.0101676172175207,3,0.0920138888888889
Normal,8,0.12094154790115375,0.13077053335688454,2.056701580092659,4,0.1111111111111111
Exponential,8,0.47083344446059905,0.23806343619867654,1.6895379046701136,2,0.2708333333333333
Bimodal,8,0.21476763634958584,0.14506820384249586,1.9972344886494904,3,0.12276785714285714
Log-normal,8,0.21320700694376438,0.14313326583830613,2.0057152089972528,3,0.11317567567567567
Chi-Square,8,0.5299241736119282,0.2538928018326492,1.5750450130828657,2,0.19230769230769232
Uniform,9,0.2920761710176778,0.14179545851863404,2.0595531556850837,3,0.09625
Normal,9,0.03380140666246412,0.11154068659176027,2.195270137688359,5,0.0625
Exponential,9,0.46328289627951613,0.1957972310314992,1.8123458472189125,2,0.20833333333333334
Bimodal,9,0.24665002107636647,0.15042104630722086,1.9712532415393988,3,0.1346153846153846
Log-normal,9,0.2248391140837732,0.13225400526604955,2.1108589569932024,4,0.0796875
Chi-Square,9,0.5153453933880898,0.23139722180942895,1.6921546892517985,2,0.15
Uniform,10,0.2453859048384242,0.11930529375340676,2.2074094324441473,4,0.061030982905982904
Normal,10,0.09981946241380726,0.10316504611859074,2.286345327158276,5,0.05513535031847134
Exponential,10,0.5262297413691838,0.22530081244436587,1.8007516600720503,2,0.16666666666666666
Bimodal,10,0.18398497790969337,0.1116576482334792,2.2436023975412382,4,0.05443548387096774
Log-normal,10,0.1840006277802944,0.11088567108768231,2.2493943879982146,4,0.045112781954887216
Chi-Square,10,0.4740027475197369,0.18951984660849291,1.91937889044546,2,0.056783536585365856
Uniform,11,0.3858944974291576,0.13583787177739162,2.1533917181834834,3,0.05733173076923077
Normal,11,0.07173574427841926,0.09241299461886679,2.3894770238457106,5,0.03153473804100228
Exponential,11,0.5795538200392554,0.21902034588115926,1.8090442268053768,2,0.11747685185185185
Bimodal,11,0.21544099812744105,0.11614067801812214,2.2179891340559643,4,0.05443548387096774
Log-normal,11,0.22592153533854786,0.10975469045498037,2.303463390813158,4,0.04073118932038835
Chi-Square,11,0.35247774329102716,0.12888470840440158,2.189055156514914,4,0.06372675619834711
Uniform,12,0.26993051508421945,0.10212449620634526,2.357335970366991,4,0.036687271062271064
Normal,12,0.1207267698499274,0.08719531991704244,2.460368659517152,5,0.02815842245989305
Exponential,12,0.44387302940337986,0.15150524455073397,2.1276503376923097,3,0.05802719465648855
Bimodal,12,0.25789003603981486,0.10215815486547954,2.366911145372507,4,0.03328804347826087
Log-normal,12,0.24509250713386876,0.10182552333256877,2.377199478638282,5,0.035904752994011975
Chi-Square,12,0.37273706707185744,0.12536961959575824,2.253079943295979,3,0.040641983695652174
Uniform,13,0.16252601393066585,0.0847082251050411,2.498413284726085,6,0.023354890483383687
Normal,13,0.10423569382662858,0.07964341503692635,2.546171019507593,6,0.01718504323899371
Exponential,13,0.5220322591235605,0.15074082080080428,2.0902277317980813,3,0.043534482758620686
Bimodal,13,0.23172455757934785,0.09824169440721812,2.3908864364164573,5,0.03486064189189189
Log-normal,13,0.34786366963503756,0.11284588442570985,2.364303662589682,4,0.025229577850877195
Chi-Square,13,0.39679772622660725,0.11436748247242491,2.275428455982588,4,0.035807291666666664
Uniform,14,0.13887965725447035,0.07626391971257825,2.5999920221743293,6,0.013936049801924165
Normal,14,0.1062871263548546,0.0740055235709,2.6212422513090217,6,0.013200769472361809
Exponential,14,0.5280494815876786,0.15809598051633847,2.1565477751865747,3,0.03667462624584718
Bimodal,14,0.21550237093824368,0.08217381308597627,2.5605911010393125,5,0.015063731170336037
Log-normal,14,0.2517589074760248,0.08574069204339704,2.5406539029324784,5,0.01646374915597569
Chi-Square,14,0.5918985838081708,0.19767084985189012,1.9982909419333021,2,0.04906882702464789
Uniform,15,0.2818356519506859,0.08284120513860911,2.579129072035369,5,0.012900704418208373
Normal,15,0.09948685922696979,0.06883470855441728,2.6921901734668263,7,0.008629904426559356
Exponential,15,0.4842955323360089,0.12359610515876099,2.296351781039134,4,0.03441281913129973
Bimodal,15,0.23874750872931141,0.08548961311423267,2.536109532890012,5,0.014646555876685934
Log-normal,15,0.28194803231358134,0.08657204237938311,2.573824168468003,5,0.012163295110341843
Chi-Square,15,0.550800628640703,0.1532228386677684,2.1771333000688533,3,0.020934225755360625
Uniform,16,0.20885771428802646,0.07129123458577533,2.690676452540954,6,0.008468204857902032
Normal,16,0.11404526073299337,0.06515630179150139,2.750371127893155,7,0.0069614640754196945
Exponential,16,0.24929416222659784,0.07469568157741888,2.6575047783197085,6,0.010337338835364127
Bimodal,16,0.23054988689776823,0.07341677484754,2.6808897724217027,6,0.008630641546188509
Log-normal,16,0.23813335705870353,0.07355458322091647,2.6782604093893823,6,0.008589800666360295
Chi-Square,16,0.5438393077252932,0.12795772398022903,2.262959912758297,3,0.0196201171875
Uniform,17,0.21589924650426512,0.06733762953655505,2.7579971801821332,6,0.005298195961500784
Normal,17,0.13403601723206335,0.06214080439920597,2.8039721372857827,7,0.004870047409414155
Exponential,17,0.45602729649960866,0.10508687467558621,2.4554421498766272,4,0.017683976180069932
Bimodal,17,0.2115161143472074,0.07218067050763895,2.692682522952405,6,0.008627758552386278
Log-normal,17,0.24892305694425937,0.07112112819732418,2.7317119471961204,6,0.005458240376931273
Chi-Square,17,0.3553549067050868,0.08375789903073977,2.625426704632227,5,0.009147307832362289
Uniform,18,0.29647738035286675,0.07070367345387076,2.7379520267590807,6,0.03546668046357616
Normal,18,0.08735043044546842,0.05690761828303102,2.8779012055900357,8,0.05536265432098766
Exponential,18,0.4950975438453762,0.10370094565663296,2.4712199396992593,4,0.19791666666666666
Bimodal,18,0.2349100156971371,0.06532483921753696,2.798292773241265,7,0.05669642857142857
Log-normal,18,0.26386790877771266,0.0733850858917774,2.760691049078016,6,0.125
Chi-Square,18,0.5619736191352075,0.13246961568516094,2.341790070885165,3,0.26785714285714285
Uniform,19,0.2209844333207681,0.06059827490347729,2.8665466274487166,7,0.05993852459016393
Normal,19,0.13125093673227764,0.05566762565579561,2.916889770569492,8,0.05298132183908046
Exponential,19,0.3826774781409103,0.08030902342403713,2.694077820090384,5,0.07435344827586207
Bimodal,19,0.19978130041269143,0.06281723177829955,2.824053425438587,7,0.057897286821705425
Log-normal,19,0.21589989203770518,0.06117340374341589,2.868144539540953,7,0.115234375
Chi-Square,19,0.433554236256053,0.08712264627565114,2.6370042366054838,4,0.09576612903225806
Uniform,20,0.24238202786008145,0.0590137042382198,2.8977085038427353,7,0.03062928082191781
Normal,20,0.14626407715692835,0.05327261618398982,2.9624026951110634,8,0.0548828125
Exponential,20,0.5240782270122483,0.10365148263700055,2.5283022851011663,4,0.19791666666666666
Bimodal,20,0.21556725931686332,0.05760474403850162,2.9170756565525484,7,0.05515939597315436
Log-normal,20,0.22405077777431703,0.0585453935953029,2.9133268601849904,7,0.109375
Chi-Square,20,0.5882756741133874,0.1278548912823835,2.366709510124508,3,0.35
Uniform,21,0.2602224512531662,0.057493333061297905,2.9343338298998822,7,0.0357105152027027
Normal,21,0.11706333730710466,0.049694794537720285,3.0215831614740045,9,0.027105642504118618
